"TIME","GEO","INDIC_ED","UNIT","Value"
"2002","Belgium","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","6.09"
"2002","Belgium","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.36"
"2002","Belgium","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.71"
"2002","Belgium","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.32"
"2002","Belgium","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.70"
"2002","Belgium","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","5.80"
"2002","Belgium","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.29"
"2002","Belgium","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","12.23"
"2002","Belgium","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","11.65"
"2002","Belgium","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","0.58"
"2002","Belgium","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.36"
"2002","Belgium","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","6.01"
"2002","Bulgaria","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","3.94"
"2002","Bulgaria","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","0.73"
"2002","Bulgaria","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","1.72"
"2002","Bulgaria","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","0.81"
"2002","Bulgaria","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.67"
"2002","Bulgaria","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","3.75"
"2002","Bulgaria","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.18"
"2002","Bulgaria","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","9.95"
"2002","Bulgaria","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","9.49"
"2002","Bulgaria","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","0.46"
"2002","Bulgaria","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.67"
"2002","Bulgaria","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","3.85"
"2002","Czechia","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.15"
"2002","Czechia","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","0.67"
"2002","Czechia","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.14"
"2002","Czechia","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","0.83"
"2002","Czechia","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.51"
"2002","Czechia","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","3.94"
"2002","Czechia","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.21"
"2002","Czechia","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","9.10"
"2002","Czechia","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","8.64"
"2002","Czechia","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","0.46"
"2002","Czechia","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.23"
"2002","Czechia","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","4.31"
"2002","Denmark","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","8.44"
"2002","Denmark","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.90"
"2002","Denmark","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.89"
"2002","Denmark","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","2.70"
"2002","Denmark","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.94"
"2002","Denmark","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","6.77"
"2002","Denmark","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","1.67"
"2002","Denmark","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","15.46"
"2002","Denmark","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","12.40"
"2002","Denmark","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","3.06"
"2002","Denmark","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.28"
"2002","Denmark","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","8.54"
"2002","Germany (until 1990 former territory of the FRG)","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.72"
"2002","Germany (until 1990 former territory of the FRG)","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","0.67"
"2002","Germany (until 1990 former territory of the FRG)","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.40"
"2002","Germany (until 1990 former territory of the FRG)","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.16"
"2002","Germany (until 1990 former territory of the FRG)","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.49"
"2002","Germany (until 1990 former territory of the FRG)","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","4.38"
"2002","Germany (until 1990 former territory of the FRG)","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.35"
"2002","Germany (until 1990 former territory of the FRG)","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","9.85"
"2002","Germany (until 1990 former territory of the FRG)","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","9.13"
"2002","Germany (until 1990 former territory of the FRG)","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","0.72"
"2002","Germany (until 1990 former territory of the FRG)","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.88"
"2002","Germany (until 1990 former territory of the FRG)","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","4.79"
"2002","Estonia","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.47"
"2002","Estonia","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.53"
"2002","Estonia","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.44"
"2002","Estonia","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.08"
