ATAR,Grade,Mark
52.4,F,33
67.45,D,82
63.45,W,0
64.35,W,0
66.3,W,0
57.45,CR,65
64.3,F,45
94.1,D,79
80.45,P,60
81.25,P,56
79.6,D,78
61.75,F,45
60.7,W,0
80.05,CR,74
67.15,F,48
77.55,CR,72
71.1,F,45
60.6,W,0
77.2,HD,93
0,CR,73
0,W,0
0,CR,74
0,W,0
60.75,W,0
55.3,P,63
82.85,W,0
56.6,CR,74
0,P,60
0,W,0
77.7,W,0
0,W,0
52.95,D,83
0,P,64
0,P,55
67.4,W,0
76.5,HD,88
63.2,W,0
69.65,D,81
60.05,P,64
34.95,W,0
0,D,84
66.8,IS,
73.6,CR,74
61.4,CR,74
67.35,IS,
61.45,F,45
61.2,D,83
55.35,CR,67
61.3,P,60
68.7,W,0
61.15,F,45
62.25,CR,65
61.95,F,43
62.1,HD,88
64.85,D,75
61.3,CR,72
63.95,F,45
69.75,F,43
63.55,W,0
60.5,HD,94
60.5,D,77
82.4,CR,72
65.8,CR,68
63.4,W,0
67.6,W,0
75.75,D,84
55.25,P,62
63.45,D,77
62.25,W,0
63.75,F,45
69,HD,88
82.25,HD,89
76.15,F,33
55.05,P,63
55.7,F,38
61.45,W,0
70.1,P,64
63.85,F,40
69.05,F,23
63.2,W,0
75.4,HD,90
60.9,F,29
64.5,W,0
59.15,F,48
80.6,P,64
72.5,W,0
60.5,F,45
88.3,HD,94
0,IS,
0,P,51
0,W,0
0,CR,65
66.95,F,27
75.75,HD,88
73.25,HD,92
66.7,HD,87
80.9,F,45
63.1,F,42
70.5,F,25
81.7,D,76
44.85,F,37
50.5,W,0
28,F,39
54.25,P,51
64.9,W,0
0,W,0
44.25,W,0
73.35,W,0
0,HD,88
85.1,D,84
88.55,HD,88
68.8,F,46
62.6,CR,73
28.65,W,0
0,F,31
57.85,CR,70
0,F,43
53.4,CR,69
63.75,D,76
0,HD,86
0,HD,98
73.15,P,58
0,P,60
87.2,FA,29
94.3,HD,96
67.25,P,58
63.05,P,62
45.65,F,28
61.9,HD,94
68.55,CR,71
53.35,F,45
76.95,CR,67
0,W,0
20.45,W,0
18.15,W,0
20.2,F,23
53.6,HD,85
0,HD,94
54.15,P,57
0,CR,66
0,P,64
61.35,HD,86
69.05,F,45
57.15,HD,87
47.4,W,0
46.45,W,0
0,P,60
0,HD,85
0,F,45
0,F,25
0,HD,93
0,F,37
72,CR,69
71.35,HD,94
68.5,W,0
70.45,P,59
69.9,CR,70
72.45,D,84
75.15,P,61
73.05,HD,90
73.1,P,56
74.25,D,83
78.45,F,45
76.85,D,77
77.7,F,49
75.2,HD,89
73.8,W,0
73.85,D,82
69.2,D,83
79.35,HD,93
71.7,HD,88
81.2,HD,87
75.4,F,49
85.4,IS,
80.25,CR,67
77.2,P,63
74.1,HD,89
79.2,HD,87
70.6,HD,94
77.1,W,0
80.9,HD,98
68.7,HD,85
